2020-05-05 03:06:32.511+0000 INFO  Assigned admin role to user 'neo4j'.
2020-05-05 03:06:33.983+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:35.356+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.308+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.686+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.730+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.762+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.792+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.817+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.834+0000 INFO  [neo4j]: logged in
2020-05-05 03:06:36.850+0000 INFO  [neo4j]: logged in
2020-05-05 04:06:38.174+0000 INFO  [neo4j]: logged in
2020-05-05 04:06:38.418+0000 INFO  [neo4j]: logged in
2020-05-05 04:06:38.428+0000 INFO  [neo4j]: logged in
2020-05-05 04:06:38.439+0000 INFO  [neo4j]: logged in
2020-05-05 05:06:40.109+0000 INFO  [neo4j]: logged in
2020-05-05 05:06:40.119+0000 INFO  [neo4j]: logged in
2020-05-05 05:06:40.130+0000 INFO  [neo4j]: logged in
2020-05-05 05:06:40.141+0000 INFO  [neo4j]: logged in
2020-05-05 06:06:41.260+0000 INFO  [neo4j]: logged in
2020-05-05 06:06:41.270+0000 INFO  [neo4j]: logged in
2020-05-05 06:06:41.281+0000 INFO  [neo4j]: logged in
2020-05-05 06:06:41.291+0000 INFO  [neo4j]: logged in
2020-05-05 06:48:03.265+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:05.867+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:07.440+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:10.708+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:11.152+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:11.166+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:11.195+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:11.238+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:11.251+0000 INFO  [neo4j]: logged in
2020-05-07 17:42:11.267+0000 INFO  [neo4j]: logged in
2020-05-07 18:42:11.608+0000 INFO  [neo4j]: logged in
2020-05-07 18:42:11.618+0000 INFO  [neo4j]: logged in
2020-05-07 18:42:11.628+0000 INFO  [neo4j]: logged in
2020-05-07 18:54:10.578+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:51.926+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:53.525+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:54.742+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:55.155+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:55.183+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:55.223+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:55.238+0000 INFO  [neo4j]: logged in
2021-02-01 04:35:55.252+0000 INFO  [neo4j]: logged in
2021-02-01 04:37:55.131+0000 INFO  [neo4j]: logged in
